,Unnamed: 0,Name,Latitude,Longitude,Province/Territory_x,ID_NEW,Name2
685,487,Meadow Lake,54.13,-108.52,SK,WLJ,Meadow Lake
686,905,Meadow Lake,54.13,-108.52,SK,YLJ,Meadow Lake
687,377,Uranium City (Aut),59.57,-108.48,SK,WDC,Uranium City Beaverlodge Lake Eldorado
688,2116,Waskesiu Lake,59.57,-108.48,SK,WLV,
689,2079,Collins Bay,55.83,-108.43,SK,YKC,
690,1029,Buffalo Narrows,55.84,-108.42,SK,YYT,St. John's St Johns Logy Bay-Middle Cove-Outer Cove
691,612,Buffalo Narrows (Aut),55.84,-108.42,SK,WYT,St Johns Mount Pearl
692,2078,Collins Bay,55.84,-108.42,SK,WKC,
693,204,North Battleford Rcs,52.77,-108.25,SK,PQW,
694,972,Noth Battleford,52.77,-108.24,SK,YQW,North Battleford
695,2106,Points North Landing,52.77,-108.24,SK,YNL,
696,70,Bathurst Inlet,66.84,-108.01,NU,NBI,
697,1687,Black Top Ridge,66.84,-108.01,NU,WQN,
698,555,Rosetown East,51.57,-107.92,SK,WRJ,Rosetown East
699,538,Cape Peel West,69.04,-107.82,NU,WPX,Cape Peel West
700,1635,Fd Point,76.42,-107.82,NT,WDG,
701,2115,Vanscoy,50.27,-107.75,SK,WVS,
702,602,Swift Current Cda,50.27,-107.73,SK,WYC,Edmonton
703,2113,Uranium City,50.27,-107.73,SK,YBE,
704,2114,Val Marie Southeast,50.27,-107.73,SK,WVN,
705,1069,Swift Current,50.29,-107.69,SK,YYN,Swift Current
706,607,Val Marie Southeast,49.06,-107.59,SK,WYN,Swift Current
707,2117,Wathaman River,49.06,-107.59,SK,WCE,
708,576,Spiritwood West,53.37,-107.56,SK,WSR,Spiritwood West
709,483,Lucky Lake,50.95,-107.15,SK,WLE,Lucky Lake
710,638,Outlook Pfra,51.48,-107.05,SK,WYE,Outlook
711,186,Mankota,49.1,-107.02,SK,PMK,
712,1707,Fd Point,63.0,-107.0,NU,WFB,
713,194,Saskatoon Rcs,52.17,-106.72,SK,POX,Saskatoon
714,1045,Saskatoon,52.17,-106.7,SK,YXE,Saskatoon
715,2110,Saskatoon,52.17,-106.7,SK,WCD,
716,1761,Yohin,77.2,-106.7,NU,YUI,
717,521,Elbow Cs,51.13,-106.58,SK,WOK,Elbow
718,491,Waskesiu Lake,53.92,-106.07,SK,WLY,Lytton
719,478,Rockglen (Aut),49.17,-105.98,SK,WKO,Rockglen
720,462,Assiniboia Airport,49.73,-105.95,SK,WJI,Assiniboia
721,985,Stony Rapids,59.25,-105.84,SK,YSF,Stony Rapids
722,198,Prince Albert Glass Field,53.21,-105.68,SK,PPR,
723,937,Prince Albert,53.21,-105.67,SK,YPA,Prince Albert
724,884,Key Lake,57.26,-105.62,SK,YKJ,Key Lake
725,181,Key Lake,57.25,-105.6,SK,PLS,
726,918,Moose Jaw,50.33,-105.57,SK,YMJ,Moose Jaw Archive
727,353,Coronach Spc,49.05,-105.48,SK,WAQ,Coronach
728,2082,Dafoe,49.05,-105.48,SK,YVX,
729,455,Watrous East,51.67,-105.4,SK,WIW,Watrous East
730,745,Stefansson Island,73.77,-105.3,NU,XSE,Stefansson Island
731,730,La Ronge Rcs,55.15,-105.27,SK,XOX,La Ronge
732,2096,Lloydminister,55.15,-105.27,SK,CYL,
733,632,Last Mountain Cs,51.42,-105.24,SK,WXG,Last Mountain Simpson
734,235,Pilger,52.42,-105.15,SK,PUN,
735,793,Cambridge Bay,69.11,-105.14,NU,YCB,Cambridge Bay
736,677,Cambridge Bay Gsn,69.11,-105.12,NU,XCM,Cambridge Bay
737,1631,Clinton Point,69.13,-105.07,NT,WXK,
738,1632,Clinton Point,69.12,-105.02,NT,YUH,
739,667,Bratt'S Lake Climate,50.2,-104.71,SK,XBK,Bratts Lake Wilcox
740,2073,Broadview,50.2,-104.71,SK,WXU,
741,966,Regina,50.43,-104.67,SK,YQR,Regina Grand Coulee
742,380,Regina Rcs,50.43,-104.67,SK,WDJ,Regina Grand Coulee
743,413,Melfort,52.82,-104.6,SK,WFF,Melfort
744,1703,Eureka,67.72,-104.47,NU,YEU,
745,2119,Yorkton,51.77,-104.2,SK,YQV,
746,250,Yellow Grass North,49.82,-104.18,SK,PYS,
747,2101,Nipawin,53.33,-104.01,SK,XSN,
748,786,Nipawin,53.33,-104.01,SK,YBU,Nipawin
749,366,Nipawin,53.33,-104.0,SK,WBU,Nipawin
750,620,Weyburn,49.69,-103.8,SK,WWF,Weyburn
